iter	Accuracy	Logloss
0	0.7942061281	0.6513677554
1	0.7942061281	0.6184608654
2	0.7942061281	0.5925913211
3	0.7942061281	0.5749518183
4	0.7942061281	0.5567383662
5	0.7942061281	0.5449595385
6	0.7942061281	0.535269616
7	0.7942061281	0.5270778042
8	0.7947632312	0.5204254216
9	0.7942061281	0.5124184718
10	0.7989972145	0.5071026189
11	0.7981058496	0.503337432
12	0.796545961	0.4982191171
13	0.8	0.4958751314
14	0.8040111421	0.4924768806
15	0.8072423398	0.490055895
16	0.8109192201	0.4873239501
17	0.8111420613	0.485615508
18	0.8110306407	0.484057724
19	0.8111420613	0.4816147146
20	0.8111420613	0.4794883778
21	0.8111420613	0.4777903386
22	0.8113649025	0.476067368
23	0.8114763231	0.4750360691
24	0.8114763231	0.4738003521
25	0.8113649025	0.4728203318
26	0.8112534819	0.4718725677
27	0.8122562674	0.4706456111
28	0.8121448468	0.4695852887
29	0.8120334262	0.4686676024
30	0.8119220056	0.4677676071
31	0.8119220056	0.4668883782
32	0.8131476323	0.4663524887
33	0.8130362117	0.4657546656
34	0.8132590529	0.4649132845
35	0.8132590529	0.4640671609
36	0.8134818942	0.4633513615
37	0.8134818942	0.4617917636
38	0.8133704735	0.4610409536
39	0.8133704735	0.4607694127
40	0.8132590529	0.460063339
41	0.8134818942	0.4593012039
42	0.8133704735	0.4586333047
43	0.8133704735	0.4579932084
44	0.8134818942	0.4573878359
45	0.8135933148	0.456888732
46	0.8137047354	0.4563145811
47	0.8137047354	0.4556282384
48	0.8135933148	0.4542003523
49	0.8140389972	0.4533591945
50	0.8140389972	0.4527436527
51	0.8143732591	0.4523511809
52	0.8143732591	0.4520307556
53	0.8143732591	0.4514476969
54	0.8142618384	0.4506028818
55	0.8142618384	0.450201974
56	0.8144846797	0.4496159901
57	0.8144846797	0.4489665259
58	0.8144846797	0.4487114201
59	0.8144846797	0.4479167902
60	0.8144846797	0.4474492393
61	0.8145961003	0.4468433265
62	0.8147075209	0.4459464397
63	0.8147075209	0.445505302
64	0.8147075209	0.4449490874
65	0.8147075209	0.4442659165
66	0.8147075209	0.4437009882
67	0.8147075209	0.4434010455
68	0.8148189415	0.4424914355
69	0.8147075209	0.441646309
70	0.8147075209	0.4412112082
71	0.8147075209	0.4407808541
72	0.8147075209	0.4403754125
73	0.8147075209	0.4398425773
74	0.8147075209	0.4392710665
75	0.8147075209	0.4390061154
76	0.8147075209	0.438760343
77	0.8148189415	0.4382412019
78	0.8147075209	0.4378466463
79	0.8148189415	0.437406051
80	0.8149303621	0.4369716635
81	0.8149303621	0.4364183199
82	0.8150417827	0.435943943
83	0.8151532033	0.4354354062
84	0.8151532033	0.4350517998
85	0.8150417827	0.4343612373
86	0.8150417827	0.4339224002
87	0.815264624	0.4330727147
88	0.8154874652	0.4323798006
89	0.8153760446	0.4315388963
90	0.8153760446	0.4309447823
91	0.8153760446	0.4304162513
92	0.815264624	0.4300342922
93	0.8157103064	0.429505672
94	0.8154874652	0.4285947513
95	0.8160445682	0.4281922716
96	0.8160445682	0.4277988257
97	0.8160445682	0.427285115
98	0.8160445682	0.4267531481
99	0.8160445682	0.4259485395
100	0.8161559889	0.4256323652
101	0.8164902507	0.4251715283
102	0.8168245125	0.4245549626
103	0.8169359331	0.4240445182
104	0.8169359331	0.4233818685
105	0.8173816156	0.4224609318
106	0.8178272981	0.4216702015
107	0.8178272981	0.4210492014
108	0.8179387187	0.4204271491
109	0.8179387187	0.4201429503
110	0.8182729805	0.4197201015
111	0.8181615599	0.4196507355
112	0.8184958217	0.4189622222
113	0.8184958217	0.4188594536
114	0.818718663	0.4184864236
115	0.8186072423	0.4179821886
116	0.8184958217	0.4171754266
117	0.8186072423	0.4165158311
118	0.8189415042	0.415829043
119	0.8189415042	0.4157675936
120	0.819275766	0.4150673039
121	0.8194986072	0.4144627709
122	0.8199442897	0.413995186
123	0.8200557103	0.4131360621
124	0.8200557103	0.4124790402
125	0.8202785515	0.4118394296
126	0.8205013928	0.4115894887
127	0.8202785515	0.4109420978
128	0.8205013928	0.4103880388
129	0.8206128134	0.4095465627
130	0.8209470752	0.4088458331
131	0.8210584958	0.4078817449
132	0.8211699164	0.4069684093
133	0.8215041783	0.4065890871
134	0.8215041783	0.4065335909
135	0.8217270195	0.405959515
136	0.8218384401	0.4059111425
137	0.8219498607	0.4052883254
138	0.8221727019	0.4047651672
139	0.8221727019	0.4043607431
140	0.8222841226	0.4038315626
141	0.8226183844	0.4032121914
142	0.8226183844	0.4024811229
143	0.8229526462	0.4019739496
144	0.8233983287	0.4013485489
145	0.8238440111	0.4007917279
146	0.8239554318	0.3999160972
147	0.8245125348	0.3991865938
148	0.8244011142	0.3985900065
149	0.8245125348	0.398119913
150	0.8245125348	0.3973479359
151	0.8250696379	0.3966852502
152	0.8252924791	0.3957870438
153	0.8258495822	0.3953499791
154	0.8257381616	0.3949479244
155	0.8256267409	0.3943527255
156	0.8258495822	0.3936830058
157	0.8258495822	0.3931146704
158	0.8259610028	0.3930682227
