iter	Passed	Remaining
0	18	18646
1	29	14747
2	38	12820
3	48	12049
4	58	11659
5	67	11252
6	79	11257
7	89	11037
8	99	10933
9	110	10947
10	119	10785
11	130	10755
12	141	10736
13	151	10650
14	162	10669
15	172	10619
16	182	10580
17	194	10610
18	204	10550
19	214	10524
20	226	10546
21	235	10480
22	246	10481
23	258	10522
24	270	10547
25	281	10531
26	293	10566
27	307	10680
28	319	10682
29	330	10699
30	344	10773
31	355	10750
32	364	10694
33	376	10702
34	387	10693
35	399	10685
36	410	10678
37	421	10668
38	430	10620
39	442	10608
40	451	10569
41	462	10538
42	473	10539
43	484	10517
44	494	10486
45	506	10497
46	516	10479
47	527	10466
48	539	10475
49	549	10448
50	560	10420
51	571	10415
52	581	10388
53	591	10362
54	601	10336
55	610	10294
56	620	10265
57	629	10230
58	639	10198
59	649	10173
60	658	10133
61	668	10107
62	677	10080
63	687	10054
64	697	10032
65	706	9996
66	715	9964
67	724	9932
68	735	9929
69	745	9906
70	756	9893
71	765	9872
72	775	9849
73	785	9831
74	796	9820
75	805	9793
76	815	9781
77	825	9761
78	835	9743
79	845	9728
80	855	9706
81	865	9694
82	875	9677
83	885	9660
84	895	9640
85	904	9616
86	914	9600
87	924	9580
88	934	9564
89	944	9549
90	954	9533
91	965	9527
92	974	9504
93	986	9505
94	996	9491
95	1005	9468
96	1015	9455
97	1025	9438
98	1035	9420
99	1045	9406
100	1054	9386
101	1064	9371
102	1074	9353
103	1084	9341
104	1094	9327
105	1103	9308
106	1113	9295
107	1123	9280
108	1134	9274
109	1145	9266
110	1154	9246
111	1165	9237
112	1174	9220
113	1183	9201
114	1194	9190
115	1203	9171
116	1214	9163
117	1224	9149
118	1233	9130
119	1243	9121
120	1254	9116
121	1268	9129
122	1296	9243
123	1318	9313
124	1331	9320
125	1348	9353
126	1362	9366
127	1372	9353
128	1383	9339
129	1393	9327
130	1404	9319
131	1414	9303
132	1424	9288
133	1433	9267
134	1443	9248
135	1452	9227
136	1462	9210
137	1472	9197
138	1481	9176
139	1492	9165
140	1501	9146
141	1511	9133
142	1521	9119
143	1531	9101
144	1541	9088
145	1550	9070
146	1560	9053
147	1570	9039
148	1579	9020
149	1589	9007
150	1598	8990
151	1609	8977
152	1619	8965
153	1628	8945
154	1638	8931
155	1647	8915
156	1657	8900
157	1669	8894
158	1678	8877
159	1688	8864
160	1697	8845
161	1707	8832
162	1717	8816
163	1726	8801
164	1736	8788
165	1746	8772
166	1756	8763
167	1767	8751
168	1776	8734
169	1785	8719
170	1795	8704
171	1805	8692
172	1815	8679
173	1825	8666
174	1836	8656
175	1845	8641
176	1855	8627
177	1865	8614
178	1874	8598
179	1885	8587
180	1894	8573
181	1905	8562
182	1916	8554
183	1925	8540
184	1936	8528
185	1945	8514
186	1955	8499
187	1964	8486
188	1974	8471
189	1983	8457
190	1995	8450
191	2005	8438
192	2015	8428
193	2025	8413
194	2035	8403
195	2044	8387
196	2056	8380
197	2066	8369
198	2075	8355
199	2086	8344
200	2097	8338
201	2108	8330
202	2123	8337
203	2138	8343
204	2153	8351
205	2169	8362
206	2182	8359
207	2194	8357
208	2205	8347
209	2218	8344
210	2230	8339
211	2240	8327
212	2251	8319
213	2263	8312
214	2273	8301
215	2286	8298
216	2298	8294
217	2312	8295
218	2325	8291
219	2337	8286
220	2356	8306
221	2369	8302
222	2382	8300
223	2393	8293
224	2403	8279
225	2416	8275
226	2427	8267
227	2438	8257
228	2450	8249
229	2460	8237
230	2470	8223
231	2480	8210
232	2490	8197
233	2499	8182
234	2509	8169
235	2519	8154
236	2529	8144
237	2540	8133
238	2550	8120
239	2561	8110
240	2570	8095
241	2581	8085
242	2591	8073
243	2601	8059
244	2611	8046
245	2620	8032
246	2630	8019
247	2640	8006
248	2650	7992
249	2660	7981
250	2670	7967
251	2679	7954
252	2690	7943
253	2699	7929
254	2709	7917
255	2719	7902
256	2728	7889
257	2738	7876
258	2749	7865
259	2759	7854
260	2769	7841
261	2778	7827
262	2789	7816
263	2798	7802
264	2808	7790
265	2818	7776
266	2827	7763
267	2838	7753
268	2849	7744
269	2860	7732
270	2869	7720
271	2879	7706
272	2890	7697
273	2899	7683
274	2909	7671
275	2921	7663
276	2932	7654
277	2943	7643
278	2954	7635
279	2964	7624
280	2975	7613
281	2986	7603
282	3000	7600
283	3012	7594
284	3024	7587
285	3035	7577
286	3045	7566
287	3057	7558
288	3067	7546
289	3076	7532
290	3087	7521
291	3096	7507
292	3106	7495
293	3116	7482
294	3126	7470
295	3137	7461
296	3148	7451
297	3158	7440
298	3168	7428
299	3177	7414
300	3187	7402
301	3197	7389
302	3206	7376
303	3217	7365
304	3226	7352
305	3236	7340
306	3246	7327
307	3255	7314
308	3267	7306
309	3276	7293
310	3286	7281
311	3296	7269
312	3305	7255
313	3315	7243
314	3327	7236
315	3339	7229
316	3351	7221
317	3374	7236
318	3395	7248
